KabKot,NamaProv,Produk,CV_Post-2,CV_Post-Intervention,CV_Pre-Intervention,Mean_Price_Post-2,Mean_Price_Post-Intervention,Mean_Price_Pre-Intervention,Variance_Post-2,Variance_Post-Intervention,Variance_Pre-Intervention,Variance_Change_Post1,Variance_Change_Post2,Price_Change_Post1,Pre_Event_Avg,Peak_Price,Post_Event_Avg,Days_to_Peak,Price_Spike,Recovery_Level,Cluster,Probability,Cluster_Label
Magelang,Jawa Tengah,Minyak Goreng Curah,0.09145830914836744,0.09825290635069778,0.08824644779659643,17329.295454545456,14330.322580645161,17446.129291560374,2511933.5618393165,1982452.2924731197,2370241.722899373,-16.360754545823035,5.977948897406983,-17.859587412449677,17151.855003720237,20086.0,13642.333333333334,0.0,17.106866841186257,-20.461470025403592,0,0.9999999999999671,High Success
Magetan,Jawa Timur,Minyak Goreng Curah,0.07648162324789079,0.045758694524637995,0.028025693021909572,16479.484848484848,14446.111111111111,16085.31000434028,1588552.0764790764,436967.5163398692,203222.4074498956,115.019358260286,681.6815558937482,-10.19065776653894,16729.980003720237,16156.0,13812.6,0.0,-3.430846920274867,-17.438036405730912,0,0.9999995992007727,High Success
Majalengka,Jawa Barat,Minyak Goreng Curah,0.07350140035735261,0.1770080990066592,0.10521786214035496,17230.136363636364,16496.722222222223,18491.240940154545,1603868.1233766202,8526712.094771238,3785393.758462296,125.2529760136489,-57.630084854682494,-10.786289164623541,20031.71687534877,19800.0,14661.8,0.0,-1.1567499520419258,-26.807072547820628,0,0.9999999999128386,High Success
Majene,Sulawesi Barat,Minyak Goreng Curah,0.027243055642771415,0.03987045941667646,0.13288533923617185,17805.18181818182,15408.388888888889,17334.47667100694,235290.53679653635,377413.0751633984,5306102.174073157,-92.88718794358076,-95.56566140120293,-11.111311974820458,19312.980003720237,20444.0,14923.2,0.0,5.856268665228754,-22.72968751003024,0,0.9999998801098312,High Success
Makassar,Sulawesi Selatan,Minyak Goreng Curah,0.08214255114021453,0.08728109990942899,0.08602491113905082,16986.272727272728,14203.0,16741.560004340277,1946850.3030303011,1536740.7058823532,2074150.726264999,-25.90988270897651,-6.1374721529487175,-15.163222565174042,15765.480003720239,19450.0,13184.2,0.0,23.370807583469148,-16.37298707753347,0,1.0,High Success
Malang,Jawa Timur,Minyak Goreng Curah,0.06746374541698967,0.07520303936312835,0.09925367395744211,16559.886363636364,14601.0,17650.467761296863,1248117.8705074012,1205690.9142857147,3069061.7143392744,-60.71467352212293,-59.33226547136725,-17.27697986556252,18266.963313379325,21706.0,13163.5,30.0,18.826537436037942,-27.93821406342553,1,0.9999999392117928,High Success
Maluku Barat Daya,Maluku,Minyak Goreng Curah,0.21013082286332263,0.1955078755018122,0.1572270214902886,14474.40909090909,18420.61111111111,17587.920005580356,9250840.824675323,12969898.604575146,7646863.49785821,69.61069866367893,20.975623891630445,4.734449015384165,15877.440011160716,21977.8,20062.6,0.0,38.4215590457351,26.359161085775867,0,1.0,High Success
Maluku Tengah,Maluku,Minyak Goreng Curah,0.03639897571011147,0.08525832351787746,0.09246947229293687,18672.742424242424,15871.259259259261,17068.72000558036,461949.5389610426,1831033.7490922275,2491143.050411785,-26.49824951684094,-81.45632227403871,-7.015527502528639,15877.440011160716,19500.0,14623.8,0.0,22.815768702592365,-7.895731366514351,0,1.0,High Success
Maluku Tenggara,Maluku,Minyak Goreng Curah,0.1006329810053951,0.09282607814202058,0.15109000024391697,17711.7947845805,15915.333333333334,18414.22000558036,3176916.636421552,2182586.5882352954,7740661.908391694,-71.80361816514501,-58.95807523930945,-13.57041825007927,15877.440011160716,21185.0,15805.4,30.0,33.42831076740612,-0.45372560759213654,1,1.0,High Success
Maluku Tenggara Barat,Maluku,Minyak Goreng Curah,0.11843076303106218,0.04303402043256981,0.16521137955393075,16183.992424242424,17479.47123015873,17459.086672247024,3673672.0806277054,565822.7757029906,8319992.9302503215,-93.19923970553221,-55.84524997286054,0.11675615279527264,15877.440011160716,21977.8,16940.125,0.0,38.4215590457351,6.693049938102693,0,1.0,High Success
